Root cause,Insecure optimization behaviors,Security consequences,Security impacts,Unique bug id,Frequency,,,
Implicit specification,Eliminating security related code,Elimination of security checks,check removal->infinite loop,l-13,1(linux),,,
Implicit specification,Eliminating security related code,Elimination of security checks,check removal->infinite loop,l-8,1(linux),,,
Implicit specification,Eliminating security related code,Elimination of security checks,check removal->infinite loop,b-1,1(gcc),,,
Implicit specification,Eliminating security related code,Elimination of security checks,check removal,b-2,1(gcc),,,
Implicit specification,Eliminating security related code,Elimination of security checks,check removal->null ptr deref,l-16,1(linux),,,
Implicit specification,Eliminating security related code,Elimination of security checks,check removal->null ptr deref,l-24 b-8,2(linux) 3(gcc),,,
Implicit specification,Eliminating security related code,Elimination of security checks,check removal->OOB access later,b-3,1(gcc),,,
Implicit specification,Eliminating security related code,Elimination of security checks,check removal,b-9,2(linux) 14(gcc) 5(llvm),,,
Implicit specification,Eliminating security related code,Elimination of security checks,infinite loop,b-10,15(gcc) 2(llvm),,,
Implicit specification,Eliminating security related code,Elimination of security checks,infinite loop,b-11,3(gcc),,,
Implicit specification,Eliminating security related code,Elimination of security checks,infinite loop(loop condition always true),b-12,1(llvm),,,
Implicit specification,Eliminating security related code,Elimination of security checks,check removal->null ptr deref,b-5,1(llvm) 2(gcc),,,
Implicit specification,Eliminating security related code,Elimination of security checks,flag check removal (CSE)->crash hazard,l-41,2(linux),,,
Implicit specification,Eliminating security related code,Elimination of critical memory operations,initialization removed,b-6 l-2 b-16,2(gcc) 6(linux) 3(gcc),,,
Implicit specification,Eliminating security related code,Elimination of critical memory operations,initialization removed,b-20,1(gcc),,,
Implicit specification,Eliminating security related code,Elimination of critical memory operations,func call removed->kernel crash,l-30,2(linux),,,
Implicit specification,Eliminating security related code,Elimination of critical memory operations,wrong checksum->NFS failure,l-35,1(linux),,,
Implicit specification,Eliminating security related code,Elimination of critical memory operations,"local addr rmed, counter crash",b-28,1(gcc),48623,,
Implicit specification,Eliminating security related code,Elimination of critical memory operations,"unaligned parameter optied, memory corruption",b-29,1(llvm),61112,,
Implicit specification,Eliminating security related code,Elimination of critical memory operations,eliminate BPF packet write->network failure,l-55,1(linux),49705c4ab324654a7038fc843255140730477e04,BPF specific,Environment assumption
Implicit specification,Eliminating security related code,others(loop exit removed),loop exit removal-> hang,b-4,1(linux) 1(gcc) 1(llvm),,,
Implicit specification,Reordering order-sensitive security code,Disorder between order-sensitive memory operations,memory corruption,b-13,1(linux) 7(gcc),,,
Implicit specification,Reordering order-sensitive security code,Disorder between order-sensitive memory operations,reorder-race,l-46,3(linux),,,
Implicit specification,Reordering order-sensitive security code,Disorder between order-sensitive memory operations,data corruption,l-5,4(linux),,,
Implicit specification,Reordering order-sensitive security code,Disorder between order-sensitive memory operations,multi-thread break,l-40,1(linux),,,
Implicit specification,Reordering order-sensitive security code,Disorder between order-sensitive memory operations,reorder-bpf err,l-48,1(linux),,,
Implicit specification,Reordering order-sensitive security code,Bypassing of security checks with proposed dependencies,"introduce new data race, break concurrency schedule",l-19,1(linux),,,
Implicit specification,Reordering order-sensitive security code,Bypassing of security checks with proposed dependencies,"dangerous code being moved before check, cpu crash",l-38,15(linux),,,
Implicit specification,Reordering order-sensitive security code,Disorder between security checks and dangerous operations,hoist dangerous operation to its caller->expand CFI danger,l-52,1(linux),50f9a76ef127367847cf62999c79304e48018cfa,,
Implicit specification,Reordering order-sensitive security code,Disorder between security checks and dangerous operations,potential crash,l-53,1(linux),3066820034b5dd4e89bd74a7739c51c2d6f5e554,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,"struct misaligned, memory corruption",l-20,6(linux) 4(gcc),,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,Invention of illegal instructions of certain environments,l-23,2(linux),,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,Invention of illegal instructions of certain environments,l-18,1(linux),,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,Invention of illegal instructions of certain environments,l-44,4(linux),,,
