Unique bug id,Cause or Consequence,CWE-ID,Description,CWE-ID,Description,CWE-ID,Description,CWE-ID,Description,CWE-ID,Description
l-13,Consequence,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,,,
l-8,Cause,B-1335,Incorrect Bitwise Shift of Integer,P-682,Incorrect Calculation,,,,,,
b-1,Cause,V-688,Function Call With Incorrect Variable or Reference as Argument,B-628,Function Call with Incorrectly Specified Arguments,C-573,Improper Following of Specification by Caller,P-710,Improper Adherence to Coding Standards,,
b-2,Cause,V-688,Function Call With Incorrect Variable or Reference as Argument,B-628,Function Call with Incorrectly Specified Arguments,C-573,Improper Following of Specification by Caller,P-710,Improper Adherence to Coding Standards,,
l-16,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,
l-24/b-8,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,
b-3,Cause,B-170,Improper Null Termination,P-707,Improper Neutralization,,,,,,
b-9,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,
b-10,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,
b-11,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,
b-12,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,
b-5,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,
l-2/b-6,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,
b-16,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,
b-20,Cause,B-366,Race Condition within a Thread,C-362,Concurrent Execution using Shared Resource with Improper Synchronization,C-662,Improper Synchronization,P-664,Improper Control of a Resource Through its Lifetime,,
b-4,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,
b-13,Consequence,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,,,
l-5,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-40,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
b-26,Consequence,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,,,
b-27,Consequence,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,,,
l-47,Consequence,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,,,
b-14,Cause,V-688,Function Call With Incorrect Variable or Reference as Argument,B-628,Function Call with Incorrectly Specified Arguments,C-573,Improper Following of Specification by Caller,P-710,Improper Adherence to Coding Standards,,
b-15,Consequence,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,,,
l-46,Consequence,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,,,
l-30,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,
b-28,Cause,B-562,Return of Stack Variable Address,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,,,
b-29,Cause,V-127,Buffer Under-read,B-786,Access of Memory Location Before Start of Buffer,C-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,C-118,Incorrect Access of Indexable Resource ('Range Error'),,
b-30,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-48,Consequence,C-1038,Insecure Automated Optimizations,C-758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",P-710,Improper Adherence to Coding Standards,,,,
l-20,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-44,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-15,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-50,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-51,Cause,V-195,Signed to Unsigned Conversion Error,B-681,Incorrect Conversion between Numeric Types,C-704,Incorrect Type Conversion or Cast,P-664,Improper Control of a Resource Through its Lifetime,,
b-7,Cause,V-194,Unexpected Sign Extension,B-681,Incorrect Conversion between Numeric Types,C-704,Incorrect Type Conversion or Cast,P-664,Improper Control of a Resource Through its Lifetime,,
l-52,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-19,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-53,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
b-31,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-38,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
b-19,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-43,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-54,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
