Intro Commit ID,Intro Year,Unique bug id,Special Cause,Compiler Version,Compiler Release Year,Fix Commit,Fix Year,Bug Residence
f49f23abf3dd786ddcac1c1e7db3c2013b07413f,2011,l-13,No-UB,gcc-4.1.2,2007,beaec533fc2701a28a4d667f67c9f59c6e4e0d13,2017,5
503358ae01b70ce6909d19dd01287093f6b6271c,2009,l-8,No-UB,clang-3.0.0,2011,d50f2ab6f050311dbf7b8f5501b25f0bf64a439b,2012,1
1da177e4c3f41524e886b7f1b8a0c1fc7321cac2,2005,l-16,No-UB,gcc-4.1.2,2007,02828845dda5ccf921ab2557c6ca17b6e7fc70e2,2006,0
0f22aab89715916c100b5fa7d146c497d99d45ca,2009,l-24,No-UB,gcc-4.1.2,2007,a3ca86aea507904148870946d599e07a340b39bf,2009,0
1da177e4c3f41524e886b7f1b8a0c1fc7321cac2,2005,b-9,No-UB,gcc-4.1.2,2007,6d92d4f6a74766cc885b18218268e0c47fbca399,2013,6
1da177e4c3f41524e886b7f1b8a0c1fc7321cac2,2005,l-2,No-UB,clang-11.0.0,2020,12051b318bc3ce5b42d6d786191008284b067d83,2019,0
f5509cc18daa7f82bcc553be70df2117c8eedc16,2016,b-4,No-UB,gcc-4.1.2,2007,7329a655875a2f4bd6984fe8a7e00a6981e802f3,2016,0
f1d5df84cd8c3ec6460c78f5b86be7c84577a83f,2023,b-13,No-UB,gcc-6.1,2016,7ded842b356d151ece8ac4985940438e6d3998bb,2024,1
c758ecf62ad94ddfeb4e7d8a5498bdcb2e3c85db,2008,l-30,No-UB,gcc-4.1.2,2007,45a94d7cd45ed991914011919e7d40eb6d2546d1,2009,1
1da177e4c3f41524e886b7f1b8a0c1fc7321cac2,2005,l-15,Default,clang-3.0,2011,455bd4c430b0c0a361f38e8658a0d6cb469942b5,2013,2
1d8a0af5ee1ad219a9ebd9b43559b165bcb3ff40,2020,l-50,Default,clang-17.0.1,2023,63d78b7e8ca2d0eb8c687a355fa19d01b6fcc723,2023,0
bfdc59701d6d100c99c3b987bcffd1c204e393c8,2020,l-52,Default,gcc-4.1.2,2007,50f9a76ef127367847cf62999c79304e48018cfa,2023,3
52d7e48b86fc108e45a656d8e53e4237993c481d,2017,l-53,Default,gcc-4.1.2,2007,3066820034b5dd4e89bd74a7739c51c2d6f5e554,2021,4
9b1be4dc02bb6b9761fbd8927c1750d75ddd2a8c,2013,l-43,Env,clang-3.0,2011,ede6b6bc43c68ef030f88235e91e85939b8bdb49,2021,8
34306b05d3106447c87d29d262e824ca4a30c569,2019,l-54,Env,armv8 clang-9.0.0,2019,d6da04b6fbabf4b464bfe29e34ff10c62024d1e4,2023,4
b9c5d6a643589ad39064f652938baa698f0e884a,2012,l-23,Env,arm64 gcc-5.4.0,2016,49d468f64d59016030c2835a423833e7b45ccce5,2016,0
7ddfe625cbc14c83153c78aacd52a20c5805920e,2015,l-18,Env,gcc-4.1.2,2007,1bd46782d08b01b73df0085b51ea1021b19b44fd,2015,0
1da177e4c3f41524e886b7f1b8a0c1fc7321cac2,2005,l-41,Env,gcc-4.1.2,2007,94f6bac1058fd59a8bd472d18c4b77f220d930b0,2008,1
54af769db92a47be8a9d23a4434dbd343b36f216,2021,l-55,Env,clang-3.1,2012,49705c4ab324654a7038fc843255140730477e04,2022,1
fdd2389457b209a9723c3be818fcf301f35db906,2014,l-9,DSE,gcc-4.1.2,2007,458c0480dcb338d7b72e89b2e88a622965adcea4,2020,6
daeba0641a707626f3674db71016f333edf64395,2014,l-9,DSE,gcc-4.1.2,2007,7a4295f6c9d54e082474667e552a227606b4a085,2020,6
daeba0641a707626f3674db71016f333edf64395,2014,l-9,DSE,gcc-4.1.2,2007,1762818f25f3f99c5083caa13d69e5e5aa2e4b6f,2020,6
00f496c416122e7f5a572a4511cf87c7240ba761,2016,l-9,DSE,gcc-4.1.2,2007,c55d240003ae253d3057dcf93510c9bd64bb7a09,2016,0
ffd8d3fa5813430fe3926fe950fde23630f6b1a0,2008,l-9,DSE,gcc-4.1.2,2007,7829fb09a2b4268b30dd9bc782fa5ebee278b137,2015,7
76cb9521795a167ae3d206343c072f602d84f815,2008,l-9,DSE,gcc-4.1.2,2007,7185ad2672a7d50bc384de0e38d90b75d99f3d82,2014,6
541af946fe1360ec1b45730964e87d7f93c50781,2014,l-9,DSE,gcc-4.1.2,2007,421d82f5b3e75f94e31875e37d45cdf6a557c120,2014,0
1da177e4c3f41524e886b7f1b8a0c1fc7321cac2,2005,l-9,DSE,gcc-4.1.2,2007,6ae51ffe5e768d9e25a7f4298e2e7a058472bcc3,2021,14
3ef0e5ba467366125f04b423f4638baca54a4fc1,2009,l-9,DSE,gcc-4.1.2,2007,8982ae527fbef170ef298650c15d55a9ccd33973,2020,11
c193fa91b9182465a4a01665ad4096a6cdb4db2d,2015,l-11,Padding,gcc-4.7.1,2012,8e326285924cd13d9d94edc209440ef5b6f85085,2020,5
e4c7ed415387cf718ffbec305396c30cee092987,2013,l-29,Padding,gcc-4.4.7,2012,a45e92a599e77ee6a850eabdd0141633fde03915,2014,1
1da177e4c3f41524e886b7f1b8a0c1fc7321cac2,2005,l-37,DSE,gcc-4.1.2,2007,8690ba446defe2e2b81803756c099d2943dfd5fd,2007,0
1a442fe02d205d6980202b07f799ab9336e72ad7,2007,l-37,DSE,gcc-4.1.2,2007,71f0bdcab69ab36b1e939d36063aaf6c4a164ed3,2008,1
,,,,,,,,3.125
