Specification,Unique bug id,Commit/Report ID,Normalization,Language/Hardware Mechanism,Compiler Flag,Blocking Optimizations
IS1,l-13,beaec533fc2701a28a4d667f67c9f59c6e4e0d13,1,,,
IS1,l-8,d50f2ab6f050311dbf7b8f5501b25f0bf64a439b,1,,,1
IS1,b-1,gcc-41946,1,,1,1
IS1,b-2,gcc-89670,1,,,
IS1,l-16,02828845dda5ccf921ab2557c6ca17b6e7fc70e2,1,,,1
IS1,l-24,a3ca86aea507904148870946d599e07a340b39bf,,,1,1
IS1,b-8,gcc-33629,,,1,1
IS1,b-3,gcc-85310,,,,1
IS1,b-9,gcc-30475,1,,1,1
IS1,b-10,gcc-43242,,,1,1
IS1,b-11,gcc-59933,,,1,1
IS1,b-12,llvm-16976,,1,,1
IS1,b-5,gcc-99235,,,,1
IS1,l-2,12051b318bc3ce5b42d6d786191008284b067d83,1,,,1
IS1,b-6,gcc-86092,1,1,,1
IS1,b-16,gcc-74751,1,,1,1
IS1,b-20,gcc-33949,,1,,1
IS1,b-4,gcc-66090,1,,1,1
IS2,b-13,gcc-90267,1,,1,1
IS2,l-5,f4519fd9375d310c608f9a47e4f3a0579bc94998,,1,,
IS2,l-40,dc5d17a3c39b06aef866afca19245a9cfb533a79,,1,,
IS2,b-26,gcc-53016,1,,,1
IS3,b-27,gcc-43774,,,1,1
IS3,l-47,778aaefb8e864fc61f850539ea479554dd4caea1,,1,,
IS3,b-14,gcc-15574,,,1,
IS3,b-15,gcc-63393,,,,1
IS2,l-46,16f5e707d6f6f7644ff07e583b8f18c3dcc5499f,,1,,
IS1,l-30,45a94d7cd45ed991914011919e7d40eb6d2546d1,,1,,
IS1,b-28,gcc-48623,,1,,1
IS1,b-29,llvm-61112,1,,,1
IS3,b-30,gcc-106635,,,,1
IS2,l-48,0f20615d64ee2ad5e2a133a812382d0c4071589b,,1,,
IS3,l-20,86c38a31aa7f2dd6e74a262710bf8ebf7455acc5,,1,,
IS3,l-44,8c031ba63f8f2a9efc471cb45b2ff18271556544,,1,,
IS3,l-15,455bd4c430b0c0a361f38e8658a0d6cb469942b5,1,,,1
IS3,l-50,63d78b7e8ca2d0eb8c687a355fa19d01b6fcc723,,1,,1
IS3,l-51,3751c3d34cd5a750c86d1c8eaf217d8faf7f9325,1,,,
IS3,b-7,gcc-87060,1,,,1
IS2,l-52,50f9a76ef127367847cf62999c79304e48018cfa,,1,,1
IS3,l-19,69102311a57d1fd65cdc4002c55c5d551c799044,,,1,1
IS3,l-53,3066820034b5dd4e89bd74a7739c51c2d6f5e554,,1,,1
OS2,b-31,gcc-34736,,1,,1
IS2,l-38,b407460ee99033503993ac7437d593451fcdfe44,,1,,1
IS3,b-19,gcc-80999,,1,,1
IS3,l-43,ede6b6bc43c68ef030f88235e91e85939b8bdb49,1,,,1
IS3,l-54,d6da04b6fbabf4b464bfe29e34ff10c62024d1e4,1,,,1
IS3,l-23,04ef0f1a0169a14b8e653af1178524ab4390133f,,1,,
IS3,l-18,1bd46782d08b01b73df0085b51ea1021b19b44fd,1,,,
IS1,l-41,94f6bac1058fd59a8bd472d18c4b77f220d930b0,,1,,1
IS1,l-35,51bcf092917bfaa88d762879d0bbfe7619e8c16c,,1,,1
IS1,l-55,49705c4ab324654a7038fc843255140730477e04,,1,,1
IS3,l-49,9c14791748708d87c4d02ba74eb7e281e141d6e4,,1,,
IS1,l-3,20b50d79974ea3192e8c3ab7faf4e536e5f14d8f,,1,,
IS3,l-21,9bc4f28af75a91aea0ae383f50b0a430c4509303,,1,,
IS3,l-4,e91467ecd1ef381377fd327c0ded922835ec52ab,,1,,
IS3,l-4a,8135cf8b092723dbfcc611fe6fdcb3a36c9951c5,,1,,
OS1,b-21,gcc-89201,,1,,1
OS1,l-9,7185ad2672a7d50bc384de0e38d90b75d99f3d82,,1,,1
OS1,l-11,aeb1f39d814b2e21e5e5706a48834bfd553d0059,1,,,
OS1,l-29,a45e92a599e77ee6a850eabdd0141633fde03915,1,,,1
OS1,b-22,llvm-25072,1,,,
OS2,l-6,fe8c8a126806fea4465c43d62a1f9d273a572bf5,,1,,1
OS2,l-37,8690ba446defe2e2b81803756c099d2943dfd5fd,1,,,1
OS3,l-25,a9d57ef15cbe327fe54416dd194ee0ea66ae53a4,,1,1,
OS3,l-56,03d4d13fab3fa75fbcf09bced5e3c8acf1622969,1,,,1
,,,0.369230769,0.476923077,0.2,0.661538462
,,,"UB-CISB specific, low cost","Generic, relatively low cost","Specific, low cost","Most effective, high cost"
,,,regression 1,regression 4,,regression 1
